X,A,B,C,D
11128,0.3,1.9375,1,95
11129,0,1.84375,7.7,85
11130,0.3,2.84375,118.5,90
11131,0.3,2.71875,103.4,150
11132,0.3,2.625,85.1,185
11133,0.3,2.53125,64.3,210
11134,0.3,2.25,43.9,205
11135,0,1.84375,24.9,190
11136,0.3,2.25,6.6,185
11137,0.3,2.15625,10.6,170
11138,0.3,0,2.3,0
11139,0.3,0,2.4,0
11140,0.3,0,2.1,0
11141,0.3,0.09375,0.9,10
11142,0,0.09375,0.6,5
11143,0.3,0.09375,0.6,0
11144,0.3,0,35.7,45
11145,0.3,0.09375,36.4,5
11146,0.3,0,36.2,0
11147,0.3,2.03125,181.4,0
11148,0.3,2.03125,180.3,10
11149,0,1.75,178.2,20
11150,0,1.46875,175.1,30
11151,0.3,2.34375,171.2,40
11152,0.3,3.03125,166.3,50
11153,0,2.4375,154.4,120
11154,0.3,2.53125,128.1,265
11155,0.3,3.625,98.1,300
11156,0,3.625,68.3,300
11157,0.3,2.71875,36.7,315
11158,0.3,2.4375,4.9,320
11159,45.6,-6.9375,1,0
11160,46.8,-7.15625,1,0
11161,48.9,-7.53125,0.9,0
11162,49.2,-7.53125,1,0
11163,48.9,-7.4375,1,0
11164,45.3,-7.25,0.9,0
11165,39.9,-6.9375,0.9,0
11166,34.2,-6.15625,0.7,0
11167,0,2.03125,240.7,105
11168,0.3,2.15625,219.1,215
11169,0.3,2.15625,189.5,295
11170,0.3,2.34375,157.9,315
11171,0.3,2.4375,132.8,250
11172,0.3,2.4375,108,250
11173,0.3,2.53125,79.7,285
11174,0.3,2.53125,49,305
11175,0.3,2.625,24.2,250
11176,0.3,0.28125,1,0
11177,0.3,0.28125,0.9,0
11178,0.3,0.28125,0.8,0
11179,0.3,0,13.9,0
11180,0.3,0.1875,13.9,0
11181,0.3,-0.09375,13.3,5
11182,0.3,-0.28125,13.5,0
11183,0.3,-0.375,13.6,0
11184,0.3,-0.375,13.6,0
11185,0,2.625,94.4,265
11186,0,2.53125,70.8,235
11187,0,2.625,43.8,270
11188,0.3,2.53125,15,290
11189,0.3,2.34375,10.5,255
11190,15.3,-2.84375,2,0
11191,13.2,-2.34375,1.9,0
11192,12.3,-2.15625,2,0
11193,12,-1.9375,2.2,0
11194,10.2,-0.65625,2.7,5
11195,1.8,0.5625,2.7,0
11196,0,0.28125,2.9,0
11197,0.3,0.1875,3.5,5
11198,0.3,0.1875,3.8,5
11199,0.3,0.28125,5.1,15
11200,0.3,0.1875,9.6,45
11201,0.3,0.78125,20.4,110
11202,0.3,0.65625,39,185
11203,0.3,0.5625,60,210
11204,0.3,0.46875,80,200
11205,0,0.5625,100.9,210
11206,0.3,0.65625,123.4,225
11207,0.3,0.78125,146.6,230
11208,0.3,1.0625,168.7,220
11209,0.3,1.34375,186,175
11210,0.3,1.46875,202.9,170
11211,0.3,1.5625,219.1,160
11212,0.3,1.5625,236,170
11213,0.3,1.75,251.5,155
11214,0.3,1.75,262,105
11215,0.3,1.9375,265.8,40
11216,0.3,1.9375,265.8,0
11217,0,2.15625,264.5,15
11218,0,2.03125,259.7,50
11219,0.3,2.15625,246.4,135
11220,0.3,2.34375,222.2,240
11221,0.3,2.625,191.1,310
11222,0,2.625,157.2,340
11223,0.3,2.625,129.8,275
11224,0.3,2.625,102.9,270
11225,0.3,2.4375,73.9,290
11226,0.3,2.71875,48.4,255
11227,0.3,3.3125,32.3,160
11228,0.3,0.1875,2,0
11229,0,0.375,1.8,0
11230,0,0.375,1.5,5
11231,0.3,0.46875,1.3,0
11232,0.3,-0.28125,23.8,90
11233,0.3,-0.1875,32.2,85
11234,0.3,-0.1875,36.5,45
11235,0.3,-0.375,36.4,5
11236,0.3,-0.1875,38.7,115
11237,0,-0.28125,44.5,60
11238,0.3,-0.46875,46.5,20
11239,0.3,-0.375,46.3,0
11240,0.3,0.1875,1.5,0
11241,0.3,0.1875,1.5,0
11242,0.3,0.09375,1.4,0
11243,0,0.09375,1.1,5
11244,0.3,0.09375,0.7,5
11245,0.3,0.09375,0.7,0
11246,7.5,0,12.1,20
11247,-0.3,0.1875,17.8,55
11248,0.3,0.09375,29.7,120
11249,0.3,0.375,47.8,180
11250,0,0.28125,70.5,225
11251,0.3,0.28125,93.3,230
11252,0.3,0.28125,113.1,200
11253,0,0.46875,132.1,190
11254,0.3,0.65625,156,240
11255,0,0.96875,184.9,290
11256,0,1.46875,209.1,240
11257,0.3,1.9375,221.7,125
11258,0.3,2.03125,225.1,35
11259,0,2.25,225.1,0
11260,0.3,2.25,225.7,5
11261,0,2.25,226.3,5
11262,0,2.15625,226.5,0
11263,0,2.15625,226.5,0
11264,0.3,1.9375,226.5,0
11265,0,2.15625,226.4,0
11266,0,2.03125,226.3,0
11267,0,1.84375,225.3,10
11268,0.3,1.75,219,65
11269,0.3,1.9375,199.9,190
11270,0,2.15625,166.3,335
11271,0,2.34375,129.9,365
11272,0.3,2.34375,94.1,360
11273,0.3,2.4375,59.7,345
11274,0.3,2.03125,27.4,325
11275,15,-0.46875,3.1,0
11276,15.3,-0.09375,3.2,0
11277,1.2,0.375,3.8,5
11278,0,0.09375,4.7,10
11279,0.3,0.09375,6.6,20
11280,0.3,0.375,12.9,65
11281,0.3,0.375,35.4,210
11282,0,0.375,67.1,315
11283,0.3,0.5625,101.3,340
11284,0.3,1.34375,131.2,330
11285,0.3,1.84375,169.7,350
11286,0,3.71875,217.5,0
11287,0.3,3.625,217.6,0
11288,0,3.53125,217.6,0
11289,0,3.125,216.8,5
11290,0.3,3.125,213.6,30
11291,0,3.125,206,75
11292,0,3.03125,181.3,245
11293,0,2.9375,143.6,375
11294,0.3,3.21875,110.5,330
11295,0,3.21875,80.3,300
11296,0,2.71875,48.4,320
11297,0.3,2.34375,16.6,320
11298,0,2.15625,12,285
11299,0.3,-0.09375,3.5,0
11300,0.3,-0.09375,3.5,0
11301,0.3,-0.1875,3.5,0
11302,3.3,-0.1875,3.5,0
11303,3.3,-0.375,3.5,0
11304,3.9,-0.78125,3.5,0
11305,0.3,0.28125,1.8,0
11306,0.3,0.28125,1.6,0
11307,0.3,0.46875,1.6,0
11308,0.3,-0.28125,10.1,5
11309,0.3,-0.46875,9.2,10
11310,0,-0.1875,8.4,10
11311,0.3,-0.28125,19.3,20
11312,0,-0.375,19.9,5
11313,0.3,2.25,5.8,25
11314,0.3,2.03125,9.4,35
11315,0,2.34375,178,0
11316,0,2.4375,177.6,5
11317,0,2.625,174.9,25
11318,0,2.71875,166.4,85
11319,0.3,3.03125,149.1,175
11320,0,3.21875,122.4,265
11321,0.3,3.125,95.3,270
11322,0,2.9375,71.9,235
11323,0,2.84375,50.5,215
11324,0.3,2.625,29.4,210
11325,0.3,2.34375,7.3,220
11326,0.3,2.03125,15.4,225
11327,0,1.65625,12,0
11328,0,1.46875,11.9,0
11329,0.3,0.875,12.3,5
11330,0.3,0.875,12,0
11331,0.3,0.5625,12.7,5
11332,0,0.46875,11.7,10
11333,0,0.46875,11,5
11334,0,0.375,81.6,10
11335,0.3,0.28125,83.7,20
11336,0.3,0.46875,85.8,20
11337,0,0.65625,87.6,20
11338,0.3,0.46875,88.8,10
11339,0.3,0.46875,90.7,20
11340,0.3,1.15625,94.8,5
11341,0,1.0625,94.4,5
11342,0,1.0625,94.2,0
11343,0,1.0625,93.4,10
11344,0,1.15625,89.8,35
11345,0,1.0625,83.3,65
11346,0.3,1.25,75.9,75
11347,0,1.25,68.4,75
11348,25.2,-3.3125,0.5,0
11349,26.1,-3.3125,0.5,0
11350,27,-3.53125,0.5,0
11351,27.6,-3.40625,0.5,0
11352,27.9,-3.3125,0.6,0
11353,28.5,-3.625,0.8,0
11354,29.1,-3.625,1.3,5
11355,0,0,1.7,0
11356,0,0.09375,1.7,0
11357,0,0.1875,1.7,0
11358,0.3,0.28125,1.6,0
11359,0,0.28125,1.6,0
11360,0.3,-0.09375,11.6,65
11361,0.3,0,20.3,85
11362,0.3,0,26.8,65
11363,0,0.09375,29.3,25
11364,0.3,-0.1875,19.7,100
11365,0,-0.1875,30.3,105
11366,0,-0.1875,36.8,65
11367,0.3,-0.28125,40.3,35
11368,0.3,-0.375,40.9,5
11369,0.3,-0.375,40.8,0
11370,0,1.5625,0.3,0
11371,0,1.46875,0.8,5
11372,0,1.65625,1.1,0
11373,0,1.46875,1.1,0
11374,0,1.46875,1,0
11375,0,2.84375,169.6,5
11376,0.3,2.84375,168.7,10
11377,0,2.625,167.6,10
11378,0,2.53125,166,15
11379,0,2.34375,162.9,30
11380,0,2.25,155.2,75
11381,0.3,2.15625,134.7,205
11382,0,2.4375,106.4,285
11383,0,2.34375,79.4,270
11384,0,1.84375,52.2,270
11385,0,1.84375,21.4,310
11386,0.3,2.34375,11.8,330
11387,0,2.4375,36.6,250
11388,0.3,0.5625,0.2,10
11389,0.3,0.375,1.6,15
11390,0.3,0.375,2.6,10
11391,0,0.28125,3.3,5
11392,0,0.28125,4.3,10
11393,0.3,0.375,4.6,0
11394,0,0.28125,4.4,0
11395,0.3,0.1875,3.9,5
11396,0,0.1875,3.1,10
11397,0,0.28125,2.6,5
11398,0,0.1875,2.6,0
11399,0,0.09375,2.3,5
11400,24.3,-5.09375,4.2,0
11401,17.1,-3.53125,3.9,5
11402,17.4,-3.03125,3.8,0
11403,17.7,-2.9375,3.7,0
11404,18.9,-2.15625,3.6,0
11405,17.1,0.46875,3.3,5
11406,16.2,1.15625,3.1,0
11407,16.5,0.375,3.2,0
11408,16.5,-0.5625,3.2,0
11409,12,-0.28125,3.2,0
11410,-0.6,0.1875,3.6,5
11411,0.6,0.09375,4.3,5
11412,0.3,0.1875,11.5,70
11413,0.3,0.09375,33,215
11414,0.3,0.28125,62,290
11415,0,0.375,89.8,280
11416,0,0.46875,118.6,290
11417,0,0.46875,148.9,305
11418,0.3,0.5625,181.2,325
11419,0,0.78125,216.1,350
11420,0,1.0625,243,270
11421,0,1.25,258.8,160
11422,0,1.65625,266.5,75
11423,0,2.03125,270.7,40
11424,0,2.15625,273.5,30
11425,0,2.15625,274.7,10
11426,0.3,2.15625,274.7,0
11427,0.3,2.15625,274.6,0
11428,0,2.15625,274.1,5
11429,0,2.15625,273,10
11430,0.3,2.03125,271.2,20
11431,0,2.03125,266.6,45
11432,0,2.15625,252,145
11433,0,2.25,221.9,300
11434,0,2.15625,187.6,345
11435,0,2.15625,151.4,360
11436,0,2.25,110.7,405
11437,0,2.34375,66.1,445
11438,0,2.25,22.2,440
11439,0,2.625,70.7,265
11440,0.3,2.53125,48.1,225
11441,0,2.625,32.4,155
11442,0,2.84375,16.9,155
11443,0,2.71875,4.6,125
11444,0,0,0.4,0
11445,0,0.09375,1.5,10
11446,0.3,0.1875,1.5,0
11447,0,0.28125,1.4,0
11448,0,0.09375,11.7,0
11449,0,0,11.8,0
11450,0,0.09375,12,0
11451,0,-0.375,17.9,0
11452,0.3,-0.46875,17.9,0
11453,0,2.71875,130.9,135
11454,0.3,3.03125,107.8,230
11455,0,3.3125,83.2,245
11456,0,3.21875,59.3,240
11457,0,2.9375,35.5,240
11458,0,2.9375,13,225
11459,0,3.03125,6.2,190
11460,0.3,2.625,22.9,165
11461,0.3,1.9375,36.5,135
11462,0,2.15625,189.8,0
11463,0,2.34375,188.8,10
11464,0,2.34375,186.1,25
11465,0,2.25,177.9,80
11466,0,2.25,158.2,195
11467,0,2.53125,129.8,285
11468,0,2.625,102.7,270
11469,0,2.4375,79,235
11470,0,2.625,57,220
11471,0,2.71875,34.5,225
11472,0,2.25,11.6,230
11473,0,1.9375,8.9,230
11474,27,0.09375,6.7,0
11475,27,0.09375,6.8,0
11476,27,0,7,0
11477,27,0.09375,7.1,0
11478,27,0.09375,7.1,0
11479,27,0.09375,7.1,0
11480,27,0,7.1,0
11481,27,0,7.1,0
11482,27,0.09375,7.1,0
11483,27,0,7.1,0
11484,27,0,7.1,0
11485,27,0,7.1,0
11486,27,0,7.1,0
11487,27,0.09375,7.1,0
11488,27,0,7.1,0
11489,27,0.09375,7.1,0
11490,27,0.09375,7.2,0
11491,27,0.09375,7.1,0
11492,27,0,7.1,0
11493,27,0.09375,7.1,0
11494,27.3,0.09375,7.1,0
11495,27,0,7.1,0
11496,27,0,7.1,0
11497,27.3,0,7.1,0
11498,27.3,0.09375,7.1,0
11499,27.3,0.09375,7.1,0
11500,27,0.09375,7.1,0
11501,27.3,0,7.1,0
11502,27.3,0,7.1,0
11503,27.3,0,7.1,0
11504,27.3,0,7.1,0
11505,27.3,0,7.1,0
11506,27.3,0.09375,7.1,0
11507,27.3,0.09375,7.1,0
11508,27.3,0.09375,7.1,0
11509,27.3,0.09375,6.9,0
11510,27.3,0.09375,6.8,0
11511,27.3,0,6.8,0
11512,27.3,0,6.8,0
11513,27.3,0.09375,6.8,0
11514,27.3,0,7,0
11515,27.3,0.09375,7.1,0
11516,27.3,0,7.1,0
11517,27.3,0.09375,7.2,0
11518,27.3,0.09375,7.2,0
11519,27.3,0,7.2,0
11520,27.3,0,7.2,0
11521,27.3,0.09375,7.2,0
11522,27,0.09375,7.2,0
11523,25.8,0,7.2,0
11524,23.7,0,7.6,5
11525,21.3,0.09375,9.5,20
11526,19.5,0.09375,13.3,40
11527,18,0.09375,18.9,55
11528,16.5,0,27.5,85
11529,15.3,0.09375,32.4,50
11530,14.7,0.09375,35.2,30
11531,12.6,0,41.6,65
11532,10.2,0,49.8,80
11533,5.1,0.09375,55.6,60
11534,3,0.09375,60.3,45
11535,3,0,64.4,40
11536,2.7,0,69,45
11537,-0.6,0.09375,74.9,60
11538,0,0.09375,81.2,65
11539,0,0.09375,86.4,50
11540,0,0.1875,93,65
11541,0,0.1875,104,110
11542,0,0.28125,120.1,160
11543,0,0.28125,136.9,170
11544,0,0.375,147.7,110
11545,0,0.375,160.3,125
11546,0,0.375,174,135
11547,0,0.375,187.5,135
11548,0,0.46875,194.5,70
11549,0,0.46875,202.7,80
11550,0,0.46875,209.1,65
11551,0,0.46875,209.6,0
11552,0,0.46875,206.9,25
11553,0,0.1875,317.2,0
11554,0,0.1875,317.2,0
11555,0,0.28125,317.2,0
11556,0,0.1875,317.2,0
11557,0,0.09375,317.2,0
11558,0,0.09375,317.9,5
11559,0,0.09375,320.7,30
11560,0,0.09375,325.6,50
11561,0,0.09375,332.4,70
11562,0,0.09375,339.5,70
11563,0,0.09375,345.4,60
11564,0,0.1875,349.6,40
11565,0,0.1875,353.3,35
11566,0,0.28125,357.3,40
11567,0,0.1875,360.5,30
11568,0,0.1875,361.7,10
11569,0,0.1875,361.6,0
11570,0,0.1875,360.9,5
11571,0,0.28125,360.6,5
11572,0,0.28125,360.7,0
11573,0,0.28125,360.7,0
11574,0,0.28125,360.7,0
11575,0,0.28125,360.8,0
11576,0,0.28125,360.8,0
11577,0,0.28125,360.8,0
11578,0,0.28125,360.8,0
11579,0,0.28125,360.7,0
11580,0,0.375,360.3,5
11581,0,0.28125,359.9,5
11582,0,-0.46875,62.7,20
11583,0,-0.46875,62.8,0
11584,0,-0.375,63.1,5
11585,0,-0.28125,63.4,5
11586,0,-0.28125,64.8,15
11587,0,-0.28125,68.1,35
11588,0,-0.1875,72.2,40
11589,0,-0.1875,76,40
11590,0,-0.09375,79.4,35
11591,0,-0.09375,82.5,30
11592,0,0,85.7,30
11593,0,-0.09375,89.7,40
11594,0,-0.1875,93.8,40
11595,0,-0.09375,97.3,35
11596,0,0,98.9,15
11597,0,0,104.4,35
11598,0,-0.09375,108.1,35
11599,0,0,110.6,25
11600,0,0,113.4,30
11601,0,0,117.1,35
11602,0,0,119.9,30
11603,0,0,119.8,0
11604,0,0,119.6,0
11605,0,0.09375,119.6,0
11606,0,0.28125,2.6,5
11607,0,0.09375,3.6,10
11608,0,0.1875,4.7,10
11609,0,0.09375,6,15
11610,0,0.09375,7.2,10
11611,0,-0.1875,11.7,5
11612,0,-0.09375,11.5,0
11613,0,-0.1875,10.9,5
11614,0,-0.09375,10,10
11615,0,0,11.5,5
11616,0,0.09375,12.1,5
11617,0,0,12.1,0
11618,0,0,12.2,0
11619,0,-0.375,3.3,5
11620,0,-0.375,2.8,5
11621,0,-0.46875,2.1,5
11622,0,-0.46875,1.6,5
11623,0,-0.375,1,5
11624,0,-0.375,0.5,5
11625,0,-0.5625,0.9,5
11626,2.1,-0.46875,0.9,0
11627,1.8,-0.46875,1,0
11628,1.8,-0.46875,1.1,0
11629,1.8,-0.5625,1.3,5
11630,1.8,-0.65625,1.5,0
11631,1.8,-0.46875,2.6,10
11632,1.8,-0.5625,4.1,15
11633,1.8,-0.65625,4.5,5
11634,1.8,-0.5625,4.4,0
11635,1.8,-0.5625,4.2,0
11636,3,-0.5625,3.8,5
11637,5.1,-0.96875,2.9,10
11638,13.2,-1.9375,8.3,25
11639,13.2,-2.03125,11.6,35
11640,13.2,-1.84375,15.4,40
11641,13.2,-1.9375,19.9,45
11642,13.2,-2.15625,23.6,35
11643,13.2,-2.15625,26.7,30
11644,13.2,-2.25,27.8,10
11645,0,-0.375,11.1,10
11646,0,-0.375,12.8,15
11647,0,-0.28125,13.8,10
11648,0,-0.1875,13.8,0
11649,0,-0.5625,14,0
11650,0,-0.375,6.6,25
11651,0,-0.28125,3.5,30
11652,0,-0.28125,1.1,25
11653,0,-0.375,0.2,10
11654,0,-0.28125,0.9,10
11655,0,-0.28125,1.6,5
11656,0,-0.375,2.4,10
11657,0,-0.375,3.4,10
11658,0,-0.375,4.4,10
11659,0.3,-0.375,4.9,5
11660,0,-0.375,5.4,5
11661,0,-0.375,6,5
11662,0,-0.28125,6.8,10
11663,0.3,0.09375,4.5,0
11664,0,0,4,5
11665,0,0.09375,3.2,10
11666,0,0.09375,1.2,20
11667,0,-0.1875,10.1,5
11668,0,-0.28125,10,0
11669,0,0,9.3,5
11670,0,-0.28125,8.6,5
11671,0.3,0.5625,2.2,0
11672,0.3,0.5625,2.5,5
11673,0.3,0.5625,2.8,5
11674,0.3,0.5625,2.8,0
11675,0.3,0.46875,2.5,0
11676,0,0.46875,2,5
11677,0.3,0.375,2,0
11678,0,0.46875,2.2,0
11679,0.3,0.46875,2.5,5
11680,0,0.46875,3.2,5
11681,0.3,0.375,3.2,0
11682,0,0.46875,3.3,0
11683,0.3,0.65625,2.8,5
11684,0,0.65625,2.3,5
11685,0.3,0.46875,2,5
11686,0.3,0.28125,0.8,0
11687,0.3,0.1875,0.8,0
11688,0.3,0.28125,0.7,0
11689,0,0.28125,0.7,0
11690,0.3,0.375,0.5,0
11691,0,0.375,0.5,0
11692,0.3,0.375,0.7,0
11693,0,0.375,1.4,5
11694,0.3,0.375,2,5
11695,0.3,0.46875,2.1,0
11696,0.3,0.375,2.2,0
11697,0.3,0.375,2.2,0
11698,0,0.46875,2.2,0
11699,0.3,0.46875,2.3,0
11700,0.3,0.375,2.3,0
11701,0.3,0.375,2.2,0
11702,0.3,0.375,2.1,0
11703,0,0.375,0.7,15
11704,0.3,0.09375,0.8,15
11705,0.3,0.46875,0.5,0
11706,0.3,0.375,0.6,0
11707,0.3,0.28125,0.7,0
11708,0,0.1875,0.7,0
11709,0.3,0.28125,0.2,5
11710,0.3,0.28125,0.2,5
11711,0,0.28125,0.1,0
11712,0,0.28125,0.3,5
11713,0,0.28125,0.9,5
11714,0.3,0.28125,1,0
11715,0,0.28125,0.8,0
11716,0,0.28125,0.9,0
11717,0,0.1875,0.4,5
11718,0,0.1875,0.8,10
11719,0.3,0.1875,0.5,0
11720,0.3,0.28125,0.6,0
11721,0.3,0.1875,0.6,0
11722,0,0.1875,0.4,0
11723,0.3,0.1875,0.3,5
11724,0.3,0.1875,0.7,5
11725,0.3,0.09375,0.9,0
11726,0.3,0.1875,1.2,5
11727,0.3,0.1875,1.1,0
11728,0.3,0.09375,0.3,10
11729,0,0.09375,0.9,15
11730,0.3,0,1.3,5
11731,0,0,1.3,0
11732,0.3,0.09375,1.3,0
11733,0.3,0.09375,1.3,0
11734,0.3,0.09375,1.3,0
11735,0.3,0.09375,1.2,0
11736,0.3,0,0.9,5
11737,0.3,0.09375,0.1,10
11738,0.3,0.09375,0.1,0
11739,0.3,0.09375,0.1,0
11740,0.3,0,0.1,0
11741,0,0.09375,0.1,0
11742,0,0,0.3,5
11743,0,0,0.5,0
11744,0.3,0.1875,1,5
11745,0,0,1.5,5
11746,0.3,0,1.3,0
11747,0.3,0,0.3,10
11748,0.3,0,0.5,0
11749,0.3,0,0.5,0
11750,0.3,0,0,5
11751,0.3,0,0.4,5
11752,0.3,0,0.5,0
11753,0.3,0,0.8,5
11754,0.3,0,1.8,10
11755,0,0.09375,1.7,0
11756,0.3,0,1.5,0
11757,0.3,0,1.4,0
11758,0.3,0,0.3,10
11759,0.3,0,0.3,5
11760,0,0,0.1,0
11761,0.3,0,0.5,5
11762,0.3,-0.09375,0.5,0
11763,0.3,-0.09375,0.3,0
11764,0,-0.09375,1,15
11765,0.3,-0.1875,0.9,0
11766,0.3,0,0.6,5
11767,0.3,-0.09375,0.5,10
11768,0.3,-0.1875,0.7,0
11769,0.3,-0.1875,1.1,0
11770,0.3,-0.28125,1.1,0
11771,0.3,-0.28125,0.1,10
11772,0.3,-0.28125,0.1,0
11773,0.3,-0.28125,0,0
11774,0.3,-0.375,0,0
11775,0.3,-0.375,0,0
11776,0.3,-0.375,0.1,0
11777,0,-0.375,0.4,5
11778,0.3,-0.28125,0.6,0
11779,0.3,-0.375,0.6,0
11780,0,-0.46875,0.3,0
11781,0.3,-0.375,0.4,10
11782,0.3,-0.375,1.3,10
11783,0.3,-0.375,1.2,0
11784,0.9,-0.375,0.5,5
11785,0.6,-0.375,0.2,10
11786,0.6,-0.375,0.3,0
11787,0.9,-0.375,0.1,5
11788,0.9,-0.375,0.1,0
11789,0.9,-0.375,0.1,0
11790,0.9,-0.375,0,0
11791,0.9,-0.46875,0.2,5
11792,2.1,-0.375,0.1,0
11793,2.7,-0.5625,0,0
11794,4.2,-0.5625,0.1,0
11795,5.1,-0.65625,0,0
11796,5.1,-0.78125,0.6,5
11797,4.8,-0.78125,0.7,0
11798,0,1.46875,96.1,195
11799,0.3,1.46875,77.6,185
11800,0.3,1.46875,58.9,185
11801,0.3,1.34375,41.1,180
11802,0.3,1.34375,25.8,155
11803,0.3,-0.09375,0.3,5
11804,0.3,-0.09375,0.6,5
11805,0.3,-0.1875,0.7,0
11806,0.3,-0.1875,0.9,0
11807,0.3,-0.375,1,0
11808,0.3,-0.1875,0.9,0
11809,0.3,0.09375,1,5
11810,0.3,0,0.8,0
11811,0.3,0,0.7,0
11812,0,0,0.7,0
11813,0,0,0.7,0
11814,0,0,0.8,0
11815,0.3,-0.28125,1.1,0
11816,0.3,-0.1875,1.2,0
11817,0.3,-0.28125,1.5,5
11818,21,-3.8125,2.2,25
11819,21,-3.53125,3.6,15
11820,13.2,-1.75,3.6,0
11821,4.8,0.65625,2.3,15
11822,6.6,1.0625,1.9,0
11823,6.6,0.5625,2.4,5
11824,3.6,-0.28125,3.6,15
11825,0,-0.09375,3,5
11826,0,0,2.7,5
11827,0.3,0.09375,2.7,0
11828,0.6,0.1875,2.4,5
11829,0.6,0.28125,1.1,35
11830,0.6,0.375,4.9,40
11831,0.9,0.375,6.9,20
11832,1.2,0.28125,7,0
11833,1.5,0.375,7.1,0
11834,2.1,0.09375,7.6,5
11835,3.6,0,8.6,10
11836,9.6,-0.46875,9.6,10
11837,14.7,-1.65625,10.1,5
11838,14.4,-0.5625,10.3,0
11839,14.7,0.78125,11.3,10
11840,15,0.5625,13,15
11841,14.7,-0.1875,16,30
11842,14.7,-0.375,25.2,90
11843,14.7,0.1875,43,180
11844,14.7,0.375,66.2,255
11845,15,0,100.2,310
11846,15,-0.1875,127.2,270
11847,15.3,0,139,120
11848,15,0.09375,145,65
11849,14.4,0,156.8,110
11850,13.5,0,170.3,135
11851,10.8,0,182.2,120
11852,10.5,0,190.4,90
11853,10.5,0,201.5,100
11854,9.6,0,211.8,105
11855,7.8,0,216.3,45
11856,7.8,0,224.7,90
11857,5.1,0,248,220
11858,5.1,0,278.8,310
11859,5.4,0,306.3,275
11860,5.7,0,332.3,260
11861,3,0,353.1,210
11862,0,0.09375,369.2,160
11863,0.3,0.1875,388.4,190
11864,0.3,0.28125,412,260
11865,0.3,0.1875,442.2,275
11866,0.3,0.28125,470.5,285
11867,0,0.28125,471.2,45
11868,0.3,0.28125,470.1,15
11869,0.3,0.28125,467.9,20
11870,0.3,0.375,467.6,5
11871,0.3,0.375,467.2,5
11872,0.3,0.375,467.3,0
11873,0.3,0.46875,467.3,0
11874,0.3,0.65625,467.4,0
11875,0.3,0.65625,467.4,0
11876,0.3,0.5625,467.1,0
11877,0.3,0.5625,464.2,25
11878,0.3,0.65625,457.4,70
11879,0.3,0.46875,445.7,115
11880,0,0.5625,430.5,165
11881,0.3,0.65625,408.1,205
11882,0.3,0.65625,387.5,205
11883,0.3,0.65625,365.2,225
11884,0.3,0.65625,343.7,240
11885,0.3,0.5625,317,240
11886,0.3,0.65625,294.2,230
11887,0.3,0.46875,273.7,205
11888,0.3,0.5625,257.5,180
11889,0.3,0.46875,238.4,175
11890,0.3,0.375,219,195
11891,0.3,0.46875,197.8,210
11892,0.3,0.65625,179.7,205
11893,0,0.46875,2.2,5
11894,0,0.28125,2.1,0
11895,0,0.1875,2.3,0
11896,0,0.1875,1,0
11897,0,0,15.9,0
11898,0.3,0,15.1,10
11899,0,0,14.3,10
11900,0,-0.1875,12,5
11901,0,-0.1875,11,10
11902,0,-0.28125,10.1,10
11903,0.3,-0.375,9.4,5
11904,12,-1.9375,53,30
11905,11.1,-1.9375,56.7,35
11906,11.1,-1.9375,64,75
11907,11.1,-2.15625,72.2,80
11908,10.8,-2.03125,79.3,70
11909,8.7,-2.03125,85.1,60
11910,6.6,-1.9375,90.3,50
11911,3.3,-1.65625,94.5,40
11912,-0.3,-1.25,96.4,20
11913,0.3,-0.875,97,5
11914,0.3,-0.875,97.1,0
11915,0,-0.875,97.1,0
11916,0.3,-0.875,97,0
11917,0,-0.78125,97.4,5
11918,0,-0.5625,99.7,25
11919,0.3,-0.78125,104.7,50
11920,0.3,-0.78125,108.3,35
11921,0.3,-0.375,108.9,5
11922,0.3,-0.09375,109,0
11923,0,-0.1875,109.8,10
11924,0,1.15625,13.6,30
11925,0.3,1.15625,12.5,10
11926,0.3,1.15625,11.9,5
11927,0,1.15625,10.8,10
11928,0.3,1.25,10.1,5
11929,0,1.15625,8.8,15
11930,0,1.34375,6.7,20
11931,0,1.25,5.1,15
11932,0.3,1.25,4.5,5
11933,0,1.25,3.4,10
11934,0.3,1.25,1.9,15
11935,0.3,1.25,0.5,15
11936,0,1.0625,1.4,20
11937,0,1.15625,3.1,15
11938,0,1.0625,5.4,25
11939,0.3,1.0625,6.9,15
11940,0,0.96875,7.2,0
11941,0,0.96875,8.4,10
11942,0.3,0.96875,9.4,10
11943,0.3,0.875,9.4,0
11944,0.3,0.875,8.6,10
11945,0,0.65625,3.4,15
11946,0.3,0.65625,2.4,10
11947,0.3,0.5625,1.7,5
11948,0.3,0.46875,2,0
11949,0.3,0.5625,2.9,10
11950,0,0.65625,2.8,0
11951,0.3,0.65625,2.6,0
11952,0.3,0.46875,2.7,0
11953,0.3,0.28125,2.7,0
11954,0.3,0.46875,2.6,0
11955,0.3,0.375,2.9,5
11956,0.3,0.46875,2.8,0
11957,0.3,0.375,2.1,5
11958,0.3,0.46875,1.6,0
11959,0.3,0.46875,2.1,5
11960,0,0.46875,1.9,0
11961,0.3,0.46875,2,0
11962,0.3,0.375,2.2,0
11963,0,0.375,2.1,0
11964,0.3,0.46875,0.3,10
11965,0.3,0.46875,0.4,0
11966,0.3,0.46875,0.3,0
11967,0,0.46875,0.3,0
11968,0.3,0.46875,0.1,0
